ID_UNIFICA;EQUIDAD_SOCIAL;COBERTURA_SALUD;COBERTURA_EDUCACION;COBERTURA_ACUEDUCTO;COBERTURA_ALCANTARILLADO;DISTANCIA_SALUD;DISTANCIA_EDUCACION
6800110000000011000145;41,8587492406368;4167;2666;110;199;1213,92155692;718,955699534442
6800110000000012470209;3,20597012852555;9012;6533;5;4;30,9211582902;243,326645192549
6800110000000013120111;3,97101448325143;11289;7792;6;4;227,151766945;381,5290824988
6800110000000013340304;8,28958324684451;16655;11300;5;16;35,852625289;121,715997190079
6800110000000015020709;37,388356915892;4243;2772;638;398;739,85849846;1306,19065857391
6800110000000003050227;10,3341463658868;3294;2227;9;13;125,516083196;166,370996440065
6800110000000002800704;28,2034038290064;14254;9893;305;162;233,062172303;242,925907399967
6800110000000002850705;18;157;109;5;6;267,19849662;25,8078281394711
6800110000000006590101;10,0968751066054;12228;8364;4;2;372,126054198;86,6003261796336
6800110000000001880446;57,0171248161629;6303;4074;207;242;395,059981415;247,50638077033
6800110000000003200507;7,83404257132652;11942;8129;7;8;51,9923917484;535,527635072318
6800110000000005280108;9,38058251779056;14179;9633;45;67;318,904270028;219,057498795328
6800110000000005700242;5,54298242351465;8710;6009;5;18;137,116272315;386,896723566296
6800110000000011000224;23,3591463493138;10781;6965;17;11;312,055395863;134,539096210028
6800110000000011950324;9,76709392437568;18340;12172;14;7;213,207090252;354,226353754373
6800110000000012370402;2,12530119636332;14512;10625;9;10;26,894899907;200,605625559239
6800110000000012420210;2,46818178892136;3983;2779;14;13;521,85632333;411,897035481788
6800110000000013190109;13,8097826773706;8311;5805;7;13;267,421771478;271,568244955949
6800110000000015020236;20,8803570313113;5382;3530;713;464;649,331060141;1146,8085513998
6800110000000007970224;7,00079364057571;7530;5006;2;2;817,265698995;587,570918473169
6800110000000010820121;6,65744661143485;6296;4490;3;7;171,168024711;304,082421386489
6800110000000010820403;4,7626262701521;12794;8862;269;83;229,126626048;149,213435601834
6800110000000001880345;20,353060846426;8164;5408;94;89;285,161462581;617,534845767566
6800110000000001020910;25,946237000086;12029;7687;23;15;575,732512999;297,54371374533
6800110000000001890129;54,2046872079372;2366;1538;251;287;2719,1949641;3324,83019108782
6800110000000005270606;15,6294115711661;10630;7269;10;13;303,680492225;339,031963488684
6800110000000004730120;27,0770829836528;14535;10043;201;184;93,9775452972;80,1545599246074
6800110000000005270223;5,58351647329854;10930;7522;8;8;421,736952499;54,6957944154751
6800110000000012480104;4,94807693247612;6597;4782;3;2;34,8811203759;59,6245982138331
6800110000000013170208;19,9369561335315;10139;7034;7;15;94,0151106204;288,135075671541
6800110000000013300508;8,8273584077943;4741;3240;3;5;329,048529443;167,710016784172
6800110000000014100352;12,5868851708584;5595;3828;43;36;477,694224885;258,439251952747
6800110000000002030201;30,6809425959822;14940;10231;138;98;453,222888214;204,71732042299
6800110000000002770147;53,0092039342307;12630;8448;204;161;496,368464441;379,915138267292
6800110000000002780506;22,4856572493139;14535;9969;137;91;424,106086463;153,644022061082
6800110000000004710104;16,7094595625594;13948;9672;139;133;95,9507964485;66,1488277002192
6800110000000006360601;53,251744192007;11796;8256;4;5;187,903460527;212,506411380191
6800110000000007420141;3,63935184189015;21217;14541;9;12;224,97159779;145,59084950139
6800110000000013190304;8,06938774883747;15138;10207;6;10;157,528988692;299,813979191338
6800110000000013150509;8,83582088840542;13259;8979;8;4;162,231950403;266,04205540173
6800110000000014100346;24,6774509981567;4496;3094;48;43;504,617651496;357,390654698825
6800110000000015020128;27,8272726246805;9524;6121;680;515;117,753671169;698,947281707288
6800110000000003070404;11,9743119664148;15373;10226;30;28;298,202048798;196,267390347581
6800110000000011010130;14,7598765367343;5482;3698;254;210;671,419779524;743,150423257007
6800110000000010820844;47,0489204297195;15264;10034;1822;987;190,624517227;418,579174183067
6800110000000011940409;27,1786227649537;11067;7211;1656;981;487,67754016;178,001305321369
6800110000000012370106;1,47083333176043;13630;10165;7;8;133,02036681;564,743243727754
6800110000000012380204;2,02054796092314;14872;11274;2;5;78,4888712868;740,02241472185
6800110000000013160110;6,4205263125269;15429;10129;9;19;229,85386465;235,156148028337
6800110000000013300307;6,93583343488475;6425;4447;4;9;113,870926555;462,549749691803
6800110000000005270615;13,8192306665274;9699;6636;10;12;323,795253157;339,277599802296
6800110000000014100113;19,2482457835423;12892;8892;38;34;498,105631767;200,625073013652
6800110000000015020222;17,8022988541373;5665;3718;750;477;612,328582893;1188,77503918629
6800110000000001020645;13,5780991759182;10982;7199;105;107;257,677469619;613,602436686494
6800110000000001020708;9,69007632022596;12871;8779;132;85;119,925227842;337,14335801715
6800110000000002850311;27,1541662216187;8208;5505;279;137;491,765680746;340,073636156297
6800110000000003070511;7,22528733056167;13827;8988;11;20;350,460171616;201,250739814699
6800110000000012930202;5,53815788030624;10396;7146;4;3;372,55172657;93,1889683483309
6800110000000001010430;27,5766673935784;15338;10542;150;78;361,969565572;223,489564934224
6800110000000003080208;3,89666666110357;11604;7452;10;15;93,7181572679;297,249402810691
6800110000000004230135;40,8453237221395;12018;8157;547;496;406,024655375;455,395055655015
6800110000000004230167;33,7031697555327;13301;9067;524;482;289,70377284;300,336032242977
6800110000000008560309;13,1245397925377;17834;12494;127;114;280,204464127;168,17979787187
6800110000000009440319;24,5368753887713;10221;6863;3;3;192,149907995;318,186992758253
6800110000000011960114;16,855172402386;7047;4743;3;10;734,95564065;692,270796469474
6800110000000012430401;9,37000023784737;5436;3531;23;24;602,469450961;820,84829211166
6800110000000015020532;34,1722214806963;7436;4842;750;472;450,093165818;924,87972392805
6800110000000004230101;23,4394063757638;11300;7700;417;377;224,618897746;114,293852138938
6800110000000006590108;11,8554217926709;8811;6197;1;2;170,091341269;392,752032344845
6800110000000010620111;5,65813964189485;11665;8295;8;13;377,336670432;346,214286160294
6800110000000009870107;18,9234044577213;6438;4521;4;2;359,372043955;311,890712595018
6800110000000011940722;33,332142457366;12679;8241;1968;1263;511,196057412;276,087705138673
6800110000000011960505;12,2384613460073;6248;4200;2;13;1017,26119547;947,722481927074
6800110000000013340111;8,30208343764146;15453;10377;4;11;96,4839355577;298,323143436511
6800110000000015020119;30,447569311493;10249;6614;807;560;249,608943121;846,326316728866
6800110000000015020230;32,1188405613968;3899;2553;608;409;721,565800909;1056,65205921707
6800110000000004740133;50,18928495286;9370;6402;534;478;466,102325964;530,296179949615
6800110000000009440119;17,3662647001715;10865;7378;5;3;281,536033809;174,403030516699
6800110000000010620319;9,55615375500459;9443;6671;5;9;323,69245167;313,793178089062
6800110000000009630130;10,976582430586;13375;9164;9;7;141,066890801;218,749558638094
6800110000000011940727;53,3559329152781;12639;8159;1901;1229;554,374607026;435,953694665013
6800110000000012430410;5,4412281226955;5517;3610;23;24;746,981813004;844,753539961235
6800110000000013350209;1,65443038119923;15507;11192;8;11;75,2199014142;411,486594838458
6800110000000015010135;5,85714286849612;6323;4391;17;5;110,458788379;336,675217080828
6800110000000015020733;26,517021384645;2503;1649;346;237;939,570957929;1122,20201214543
6800110000000001880201;35,0670884651474;7469;4823;211;246;202,624967069;138,796253470252
6800110000000008610319;12,9754718131614;10977;7443;137;141;270,303430426;174,782264097658
6800110000000009440320;10,0108433681798;12814;8575;6;6;102,099860441;372,265569335969
6800110000000009630134;20,0315070503379;12554;8787;7;10;69,8168494554;75,2178402978529
6800110000000004210107;13,8231249794364;4971;3516;6;7;177,669050392;251,036205268399
6800110000000006510105;9,61800004482269;6678;4651;6;6;398,845287334;438,855971999727
6800110000000005290102;31,4481706808253;4469;3081;8;12;217,394854827;118,892857495091
6800110000000010620105;5,26710527115747;11362;8038;10;13;357,564675474;271,124252051478
6800110000000008610124;20,1221240777357;13315;9314;68;52;75,8692478387;280,381910285081
6800110000000008610132;7,12073171111505;13801;9733;52;29;387,767507329;24,429202956083
6800110000000013140112;2,56615385183921;11984;8266;4;3;52,8580107103;185,149648279446
6800110000000015020152;31,4364407668679;4640;3042;170;175;436,85899789;903,026862841068
6800110000000001880350;29,2166662860561;9707;6346;165;164;132,531831282;325,820203107609
6800110000000002780601;21,2838112526253;14352;9834;135;97;455,826063786;193,027603554662
6800110000000004240203;21,1641027285503;4266;3094;14;13;14,6381168299;377,639860720295
6800110000000005270206;7,1982759018054;10385;7129;8;8;316,348895807;166,499147975204
6800110000000004740137;37,0091662963231;8433;5752;465;416;500,164982688;512,830698821728
6800110000000005700245;10,1461536196562;7860;5424;5;18;170,180402805;369,41752364671
6800110000000010620722;6,2079546011307;11960;8351;10;10;344,836784498;83,9845652481712
6800110000000011940216;33,1279213099511;14547;9628;1452;739;309,137942537;171,513977109744
6800110000000012930405;6,18500006645918;9131;6115;0;5;518,656718619;350,272423580737
6800110000000005270603;13,7902985010574;10705;7349;10;12;334,058949778;297,754581971071
6800110000000011940219;6,19041663656632;16537;11155;314;73;109,316630459;118,841470471189
6800110000000011960207;7,56694919628612;6972;4678;3;12;816,036611526;888,781533370232
6800110000000013160212;14,3103958344696;12835;8642;8;17;135,810292523;110,423989523618
6800110000000001880208;37,9333333724584;7144;4618;216;256;239,528559532;130,793702774337
6800110000000001880442;39,9964293582099;7799;5052;218;256;248,343053437;76,5013087381513
6800110000000002850609;25,9810344761816;799;524;191;198;760,328441943;750,581651052875
6800110000000006570103;7,70460527086336;9809;6781;22;14;163,125122254;66,7947372780588
6800110000000007970201;8,69769244744228;9127;5972;3;2;684,992756821;335,476056732551
6800110000000010620317;2,01439395366293;9555;6690;9;15;228,778370341;442,805473726537
6800110000000003200501;27,2454545265668;4313;2984;6;8;424,532269177;572,707547125035
6800110000000005700118;13,1614034928774;9131;6244;8;23;141,432657053;259,764750682072
6800110000000006360214;8,8529071679642;12282;8869;4;4;76,918152844;213,556055136982
6800110000000006360614;3,88546512085338;11443;8021;3;3;96,689060436;184,855005024797
6800110000000007420210;18,3715682282946;18684;12952;29;22;292,325852072;446,162674010865
6800110000000010640203;4,55625005149179;11144;7769;5;4;264,828094406;374,366562484716
6800110000000010820621;24,8939996138641;14807;9780;1594;764;141,606093223;302,038948829196
6800110000000012470203;16,9394364252057;9330;6831;5;3;45,8790651726;350,696722145486
6800110000000002850315;29,3286293379722;10685;7163;326;172;388,056525857;404,88223692492
6800110000000003200410;11,2143679168718;17312;11690;5;6;131,646740791;259,734285356728
6800110000000004750153;25,8136367464994;15056;10322;511;470;202,809553561;238,737140071392
6800110000000005670103;4,91923076220048;8102;5584;6;7;178,42559243;216,274656811804
6800110000000005700228;9,30606043700016;8946;6222;4;5;81,7400533057;372,839161018883
6800110000000009630211;6,62031260691583;9151;6439;7;12;209,755190128;123,371341966465
6800110000000014100362;10,0904494061899;9263;6444;33;29;291,944711695;222,071010647686
6800110000000001020904;28,3454546007243;11389;7252;79;99;677,660073605;110,557270700126
6800110000000002780605;33,0694556655245;15028;10293;139;104;475,878811692;203,733913766044
6800110000000003050317;29,9609585200271;8900;6052;9;19;188,571244884;338,832995965046
6800110000000005700246;8,10094336518701;7630;5259;5;20;217,212747207;311,686170488237
